[solve] bridge: http://127.0.0.1:6070
[solve] world_title = 'Husky Maze (Unknown)'  map_available = False
[solve] max_linear = 0.99 m/s, max_angular = 3.47 rad/s, lidar = 16 rays @ 8.0 m
[solve] step  90: at (1, 10) heading E -> turn E -> cell (2, 10)
[solve] step  91: at (2, 10) heading E -> turn S -> cell (2, 9)
[solve] step  92: at (2, 9) heading S -> turn E -> cell (3, 9)
[solve] step  93: at (3, 9) heading E -> turn E -> cell (4, 9)
[solve] step  94: at (4, 9) heading E -> turn S -> cell (4, 8)
[solve] step  95: at (4, 8) heading S -> turn S -> cell (4, 7)
[solve] step  96: at (4, 7) heading S -> turn S -> cell (4, 6)
[solve] step  97: at (4, 6) heading S -> turn W -> cell (3, 6)
[solve] step  98: at (3, 6) heading W -> turn W -> cell (2, 6)
[solve] step  99: at (2, 6) heading W -> turn N -> cell (2, 7)
[solve] step 100: at (2, 7) heading N -> turn E -> cell (3, 7)
[solve] step 101: at (3, 7) heading E -> turn N -> cell (3, 8)
[solve] step 102: at (3, 8) heading N -> turn W -> cell (2, 8)
[solve] step 103: at (2, 8) heading W -> turn E -> cell (3, 8)
[solve] step 104: at (3, 8) heading E -> turn S -> cell (3, 7)
[solve] step 105: at (3, 7) heading S -> turn W -> cell (2, 7)
[solve] step 106: at (2, 7) heading W -> turn S -> cell (2, 6)
[solve] step 107: at (2, 6) heading S -> turn E -> cell (3, 6)
[solve] step 108: at (3, 6) heading E -> turn S -> cell (3, 5)
[solve] step 109: at (3, 5) heading S -> turn E -> cell (4, 5)
[solve] step 110: at (4, 5) heading E -> turn E -> cell (5, 5)
[solve] step 111: at (5, 5) heading E -> turn E -> cell (6, 5)
[solve] step 112: at (6, 5) heading E -> turn E -> cell (7, 5)
[solve] step 113: at (7, 5) heading E -> turn S -> cell (7, 4)
[solve] step 114: at (7, 4) heading S -> turn W -> cell (6, 4)
[solve] step 115: at (6, 4) heading W -> turn W -> cell (5, 4)
[solve] step 116: at (5, 4) heading W -> turn E -> cell (6, 4)
[solve] step 117: at (6, 4) heading E -> turn E -> cell (7, 4)
[solve] step 118: at (7, 4) heading E -> turn E -> cell (8, 4)
[solve] step 119: at (8, 4) heading E -> turn N -> cell (8, 5)
[solve] step 120: at (8, 5) heading N -> turn E -> cell (9, 5)
[solve] step 121: at (9, 5) heading E -> turn E -> cell (10, 5)
[solve] step 122: at (10, 5) heading E -> turn S -> cell (10, 4)
[solve] step 123: at (10, 4) heading S -> turn W -> cell (9, 4)
[solve] step 124: at (9, 4) heading W -> turn S -> cell (9, 3)
[solve] step 125: at (9, 3) heading S -> turn W -> cell (8, 3)
[solve] step 126: at (8, 3) heading W -> turn S -> cell (8, 2)
[solve] step 127: at (8, 2) heading S -> turn W -> cell (7, 2)
[solve] step 128: at (7, 2) heading W -> turn N -> cell (7, 3)
[solve] step 129: at (7, 3) heading N -> turn S -> cell (7, 2)
[solve] step 130: at (7, 2) heading S -> turn S -> cell (7, 1)
[solve] step 131: at (7, 1) heading S -> turn S -> cell (7, 0)
[solve] step 132: at (7, 0) heading S -> turn E -> cell (8, 0)
[solve] step 133: at (8, 0) heading E -> turn E -> cell (9, 0)
[solve] step 134: at (9, 0) heading E -> turn N -> cell (9, 1)
[solve] step 135: at (9, 1) heading N -> turn N -> cell (9, 2)
[solve] step 136: at (9, 2) heading N -> turn E -> cell (10, 2)
[solve] step 137: at (10, 2) heading E -> turn S -> cell (10, 1)
[solve] step 138: at (10, 1) heading S -> turn S -> cell (10, 0)
[solve] goal_reached after 138 steps
