x,z,rx,ry,rz,ra,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
0.00000,0.76881,0.00000,0.00000,0.00000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,-0.33000,0.00000,0.00000,0.55000,-0.20000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,-0.15000,0.00000,0.00000,0.00000
